1.0000000000000002e-6	4.592056928201936e-13	3.4406601491985935e-14	4.247990913282166e-13
1.02e-6	8.0165828012067e-13	6.945981604773347e-14	7.321984640728602e-13
1.04e-6	1.0868907802175957e-12	1.0193555926925165e-13	9.849552209484857e-13
1.06e-6	6.959362573731199e-13	4.881001796777381e-14	6.471262394053036e-13
1.08e-6	6.113037445331289e-13	2.737135408547484e-14	5.839323904476277e-13
1.1e-6	6.386739418636943e-13	1.9813410252236105e-14	6.188605316114705e-13
1.12e-6	6.871220112014841e-13	1.6207306174263896e-14	6.709147050272449e-13
1.14e-6	7.333787759986896e-13	1.4041984853493113e-14	7.193367911452049e-13
1.1600000000000001e-6	7.711347314495665e-13	1.2551557965312698e-14	7.585831734842737e-13
1.1800000000000001e-6	7.994351349313938e-13	1.1454851355420498e-14	7.879802835759862e-13
1.2000000000000002e-6	8.191914741446088e-13	1.0630369605383082e-14	8.085611045392215e-13
1.2200000000000002e-6	8.318931601749787e-13	1.0017632860079449e-14	8.218755273148959e-13
1.24e-6	8.391125178564606e-13	9.583645248340422e-15	8.295288726081048e-13
1.26e-6	8.423392478641539e-13	9.310611009795878e-15	8.330286368543621e-13
1.28e-6	8.429555017766814e-13	9.191338185822763e-15	8.337641635908941e-13
1.3e-6	8.422697793858271e-13	9.227825182445334e-15	8.33041954203453e-13
1.32e-6	8.415762827126324e-13	9.431533248491366e-15	8.321447494641762e-13
1.3399999999999999e-6	8.422295406461385e-13	9.82496175234784e-15	8.324045788938136e-13
1.3600000000000001e-6	8.457356716745445e-13	1.044464314795908e-14	8.35291028526633e-13
1.3800000000000001e-6	8.53867632713408e-13	1.1345985193517708e-14	8.425216475198842e-13
1.4000000000000001e-6	8.688138015521066e-13	1.2610623227997176e-14	8.562031783240801e-13
1.4200000000000002e-6	8.933636137438928e-13	1.43569876683885e-14	8.790066260755353e-13
1.4400000000000002e-6	9.3110570361127e-13	1.6754040114353813e-14	9.143516634969528e-13
1.46e-6	9.865188557923515e-13	2.0034622574856212e-14	9.664842332174874e-13
1.48e-6	1.0645610754015785e-12	2.4493045646618526e-14	1.0400680297549517e-12
1.5e-6	1.1686874587122425e-12	3.041878263625019e-14	1.1382686760759556e-12
1.52e-6	1.2950861987504297e-12	3.785164222969154e-14	1.257234556520681e-12
1.54e-6	1.421241029980256e-12	4.6012124706072125e-14	1.3752289052742033e-12
1.56e-6	1.4966446839424859e-12	5.2652445323536485e-14	1.443992238618873e-12
1.5800000000000001e-6	1.464250321431668e-12	5.4705165120845836e-14	1.409545156310829e-12
1.6000000000000001e-6	1.3175344698030355e-12	5.101732039369392e-14	1.2665171494093602e-12
1.6200000000000002e-6	1.1134683597198082e-12	4.366640055587287e-14	1.069801959163884e-12
1.6400000000000002e-6	9.146043225835338e-13	3.5614043982293086e-14	8.789902786013034e-13
1.6600000000000002e-6	7.502969975515732e-13	2.856659145382351e-14	7.217304060977359e-13
1.68e-6	6.236862369072367e-13	2.2968676316929385e-14	6.007175605903159e-13
1.7e-6	5.280216275382024e-13	1.868337395762571e-14	5.093382535806067e-13
1.72e-6	4.553576800674738e-13	1.5428378473348507e-14	4.3992930159411096e-13
1.74e-6	3.9923965122232846e-13	1.2941192757662848e-14	3.862984584646753e-13
1.76e-6	3.5498485514552324e-13	1.1017664962333036e-14	3.4396719018319704e-13
1.7800000000000001e-6	3.1932418362956763e-13	9.508583956896495e-15	3.0981559967268545e-13
1.8000000000000003e-6	2.899935855274931e-13	8.307060454753088e-15	2.816865250727277e-13
1.8200000000000002e-6	2.6541576885501066e-13	7.336653051115374e-15	2.5807911580391344e-13
1.8400000000000002e-6	2.4447802541388066e-13	6.542317573798363e-15	2.37935707840077e-13
1.8600000000000004e-6	2.2638303983611787e-13	5.883984202563803e-15	2.2049905563356988e-13
1.88e-6	2.1054976850658728e-13	5.332114820819902e-15	2.0521765368576723e-13
1.9e-6	1.9654743582338781e-13	4.8646484763681256e-15	1.9168278734702525e-13
1.9200000000000003e-6	1.8405120515122833e-13	4.4648940344516706e-15	1.7958631111678285e-13
1.94e-6	1.728120578514893e-13	4.1200644187541505e-15	1.6869199343274052e-13
1.9600000000000003e-6	1.6263605710970778e-13	3.820246377197486e-15	1.5881581073251017e-13
1.98e-6	1.5336987702742025e-13	3.557667982339232e-15	1.4981220904508167e-13
2.0000000000000003e-6	1.448905652802086e-13	3.3261716241932654e-15	1.415643936560224e-13
